CalendarYear,FishingMethod,Licences,Days,Tonnes
2008,Beam Trawl,89,6085,427.22
2008,Danish Seine,N/A,N/A,N/A
2008,Fish Trawling,6,555,"1,002.36"
2008,Line,469,22559,"3,117.47"
2008,Net,552,38947,"8,015.36"
2008,Other,122,1171,
2008,Otter Trawl,342,36404,"6,188.51"
2008,Pot,545,51465,"3,273.81"
2008 Total,,1317,148681,"22,517.25"
2009,Beam Trawl,86,5636,422.69
2009,Danish Seine,N/A,N/A,N/A
2009,Fish Trawling,6,600,"1,464.89"
2009,Line,471,23353,"3,195.51"
2009,Net,514,35234,"7,492.29"
2009,Other,124,941,
2009,Otter Trawl,347,39196,"8,151.59"
2009,Pot,504,51106,"2,973.42"
2009 Total,,1292,148199,"24,177.42"
2010,Beam Trawl,85,5286,461.97
2010,Danish Seine,N/A,N/A,N/A
2010,Fish Trawling,6,636,"1,419.59"
2010,Line,428,21191,"2,679.86"
2010,Net,484,33768,"7,146.85"
2010,Other,101,767,
2010,Otter Trawl,333,38254,"7,203.61"
2010,Pot,462,50711,"2,883.09"
2010 Total,,1259,143785,"22,178.92"
2011,Beam Trawl,68,2854,236.07
2011,Danish Seine,N/A,N/A,N/A
2011,Fish Trawling,7,590,"1,102.99"
2011,Line,422,18967,"2,310.66"
2011,Net,490,32780,"7,193.12"
2011,Other,135,843,
2011,Otter Trawl,331,36380,"6,459.08"
2011,Pot,459,51285,"3,059.82"
2011 Total,,1239,137850,"20,567.74"
2012,Beam Trawl,67,2331,179.31
2012,Danish Seine,N/A,N/A,N/A
2012,Fish Trawling,N/A,N/A,N/A
2012,Line,406,18075,"2,187.56"
2012,Net,472,32641,"6,861.39"
2012,Other,133,770,
2012,Otter Trawl,311,34459,"6,536.03"
2012,Pot,450,53197,"2,874.85"
2012 Total,,1220,136988,"19,498.81"
2013,Beam Trawl,58,2145,164.86
2013,Danish Seine,N/A,N/A,N/A
2013,Fish Trawling,N/A,N/A,N/A
2013,Line,390,17034,"2,320.96"
2013,Net,457,29872,"6,341.24"
2013,Other,143,818,
2013,Otter Trawl,301,33285,"7,775.66"
2013,Pot,451,52497,"2,641.85"
2013 Total,,1205,131846,"19,982.67"
2014,Beam Trawl,51,2478,226.67
2014,Danish Seine,N/A,N/A,N/A
2014,Fish Trawling,N/A,N/A,N/A
2014,Line,391,18107,"2,327.58"
2014,Net,428,27666,"5,441.08"
2014,Other,154,767,
2014,Otter Trawl,288,35176,"6,702.92"
2014,Pot,432,51391,"2,616.8"
2014 Total,,1178,132314,"17,898.13"
2015,Beam Trawl,51,2827,313.09
2015,Danish Seine,N/A,N/A,N/A
2015,Fish Trawling,N/A,N/A,N/A
2015,Line,397,18622,"2,156.3"
2015,Net,388,27748,"6,097.76"
2015,Other,166,950,
2015,Otter Trawl,294,33970,"6,483.39"
2015,Pot,411,51481,"2,791.73"
2015 Total,,1152,131993,"18,850.47"
2016,Beam Trawl,53,2364,198.05
2016,Danish Seine,N/A,N/A,N/A
2016,Fish Trawling,N/A,N/A,N/A
2016,Line,388,18556,"2,315.12"
2016,Net,380,27689,"5,538.87"
2016,Other,222,1046,
2016,Otter Trawl,296,36660,"6,198.18"
2016,Pot,398,52489,"2,401.5"
2016 Total,,1149,135017,"17,630.29"
2017,Beam Trawl,49,2123,220.29
2017,Danish Seine,N/A,N/A,N/A
2017,Fish Trawling,N/A,N/A,N/A
2017,Line,379,16873,"2,285.67"
2017,Net,356,26596,"5,603.14"
2017,Other,205,1112,
2017,Otter Trawl,307,37973,"7,464.31"
2017,Pot,390,50859,"2,326.17"
2017 Total,,1136,132387,"18,939.66"
2018,Beam Trawl,50,2026,197.9
2018,Danish Seine,N/A,N/A,N/A
2018,Fish Trawling,N/A,N/A,N/A
2018,Line,378,16206,"2,093.62"
2018,Net,372,25478,"4,997.05"
